capacity,eightd_has_key_dispenser,lon,electric_bike_surcharge_waiver,has_kiosk,station_type,eightd_station_services,short_name,lat,name,externalId,stationId,legacyId
11,false,-87.586853,false,true,classic,,653B,41.780506,Stony Island Ave & 63rd St,1754781885939323186,1754781885939323186,1754781885939323186
11,false,-87.72785,false,true,classic,,16010,41.92459,Keystone Ave & Fullerton Ave,a3b35885-a135-11e9-9cda-0a87ae2ba916,a3b35885-a135-11e9-9cda-0a87ae2ba916,619
11,false,-87.6078521774,false,true,classic,,KA1503000075,41.79156801058,DuSable Museum,a3ad7b51-a135-11e9-9cda-0a87ae2ba916,a3ad7b51-a135-11e9-9cda-0a87ae2ba916,422
11,false,-87.6456165545,false,true,classic,,KA1503000051,41.80813391481,Halsted St & 47th Pl,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,411
11,false,-87.624424,false,true,classic,,573,41.750794,State St & 79th St,a3b26acf-a135-11e9-9cda-0a87ae2ba916,a3b26acf-a135-11e9-9cda-0a87ae2ba916,573
11,false,-87.668835,false,true,classic,,13249,41.956057,Ashland Ave & Belle Plaine Ave,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,246
11,false,-87.683593,false,true,classic,,KA1504000155,41.991178,2112 W Peterson Ave,a3af2216-a135-11e9-9cda-0a87ae2ba916,a3af2216-a135-11e9-9cda-0a87ae2ba916,456
11,false,-87.6964225611,false,true,classic,,15585,41.98366470886,Budlong Woods Library,a3af624c-a135-11e9-9cda-0a87ae2ba916,a3af624c-a135-11e9-9cda-0a87ae2ba916,468
11,false,-87.715068,false,true,classic,,15687,41.8481,Central Park Ave & 24th St,a3add889-a135-11e9-9cda-0a87ae2ba916,a3add889-a135-11e9-9cda-0a87ae2ba916,440
11,false,-87.666215,false,true,classic,,560,41.786833,Marshfield Ave & 59th St,a3b22815-a135-11e9-9cda-0a87ae2ba916,a3b22815-a135-11e9-9cda-0a87ae2ba916,560
7,false,-87.621748,false,true,classic,,651,41.765286,Michigan Ave & 71st St,61695579-2f75-4090-a071-c76079b5fb5d,61695579-2f75-4090-a071-c76079b5fb5d,674
11,false,-87.669563,false,true,classic,,16806,42.019537,Bosworth Ave & Howard St,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,522
7,false,-87.663815,false,true,classic,,16950,41.774074,Ashland Ave & 66th St,a3b241df-a135-11e9-9cda-0a87ae2ba916,a3b241df-a135-11e9-9cda-0a87ae2ba916,565
11,false,-87.666589,false,true,classic,,549,41.813996,Marshfield Ave & 44th St,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,549
11,false,-87.6829126443,false,true,classic,,RP-006,42.01213227742,Ridge Blvd & Touhy Ave,a3af5804-a135-11e9-9cda-0a87ae2ba916,a3af5804-a135-11e9-9cda-0a87ae2ba916,466
11,false,-87.575225,false,true,classic,,588,41.743921,South Chicago Ave & 83rd St,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,588
11,false,-87.585337,false,true,classic,,577,41.751173,Stony Island Ave & South Chicago Ave,a3b2810e-a135-11e9-9cda-0a87ae2ba916,a3b2810e-a135-11e9-9cda-0a87ae2ba916,577
11,false,-87.52823173999786,false,true,classic,,20222,41.7045750872071,Burnham Greenway & 105th St,c1f104db-9ee7-4999-bd4a-ddd766c75e04,c1f104db-9ee7-4999-bd4a-ddd766c75e04,710
11,false,-87.745261,false,true,classic,,16903,41.886841,Cicero Ave & Lake St,a3b10f66-a135-11e9-9cda-0a87ae2ba916,a3b10f66-a135-11e9-9cda-0a87ae2ba916,529
11,false,-87.682437,false,true,classic,,TA1309000029,41.917805,Leavitt St & Armitage Ave,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,309
11,false,-87.664429,false,true,classic,,16943,41.792822,Ashland Ave & Garfield Blvd,a3b21de7-a135-11e9-9cda-0a87ae2ba916,a3b21de7-a135-11e9-9cda-0a87ae2ba916,558
11,false,-87.656952,false,true,classic,,654,41.883073,Racine Ave & Washington Blvd,a3b4728f-a135-11e9-9cda-0a87ae2ba916,a3b4728f-a135-11e9-9cda-0a87ae2ba916,654
11,false,-87.677855,false,true,classic,,13288,41.920082,Damen Ave & Charleston St,a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,310
11,false,-87.640591,false,true,classic,,TA1308000014,41.849527,Normal Ave & Archer Ave,a3a7d279-a135-11e9-9cda-0a87ae2ba916,a3a7d279-a135-11e9-9cda-0a87ae2ba916,209
11,false,-87.6574349533,false,true,classic,,KA1503000040,41.84163253965,Loomis St & Archer Ave,a3ac7978-a135-11e9-9cda-0a87ae2ba916,a3ac7978-a135-11e9-9cda-0a87ae2ba916,366
7,false,-87.650931,false,true,classic,,16933,41.823613,Morgan St & Pershing Rd,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,548
11,false,-87.611726,false,true,classic,,652,41.766,Rhodes Ave & 71st St,a3b46866-a135-11e9-9cda-0a87ae2ba916,a3b46866-a135-11e9-9cda-0a87ae2ba916,652
11,false,-87.765469,false,true,classic,,16905,41.887664,Central Ave & Lake St,a3b11993-a135-11e9-9cda-0a87ae2ba916,a3b11993-a135-11e9-9cda-0a87ae2ba916,531
11,false,-87.614138,false,true,classic,,571,41.758361,Vernon Ave & 75th St,a3b26084-a135-11e9-9cda-0a87ae2ba916,a3b26084-a135-11e9-9cda-0a87ae2ba916,571
11,false,-87.6951398068,false,true,classic,,15689,41.84910969176,California Ave & 23rd Pl,a3ade2c3-a135-11e9-9cda-0a87ae2ba916,a3ade2c3-a135-11e9-9cda-0a87ae2ba916,442
11,false,-87.716866,false,true,classic,,518,41.885502,Conservatory Dr & Lake St,a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,518
11,false,-87.624621,false,true,classic,,572,41.756971,State St & 76th St,a3b2659d-a135-11e9-9cda-0a87ae2ba916,a3b2659d-a135-11e9-9cda-0a87ae2ba916,572
11,false,-87.700825,false,true,classic,,KA1504000127,41.965875,Manor Ave & Leland Ave,a3af9064-a135-11e9-9cda-0a87ae2ba916,a3af9064-a135-11e9-9cda-0a87ae2ba916,477
11,false,-87.5764501141,false,true,classic,,KA1503000018,41.76663823695,Jeffery Blvd & 71st St,a3a3983e-a135-11e9-9cda-0a87ae2ba916,a3a3983e-a135-11e9-9cda-0a87ae2ba916,11
11,false,-87.60563486,false,true,classic,,KA1503000031,41.77372095205,Cottage Grove Ave & 67th St,a3ada002-a135-11e9-9cda-0a87ae2ba916,a3ada002-a135-11e9-9cda-0a87ae2ba916,429
11,false,-87.551208,false,true,classic,,TA1309000051,41.744615,Commercial Ave & 83rd St,a3b2956a-a135-11e9-9cda-0a87ae2ba916,a3b2956a-a135-11e9-9cda-0a87ae2ba916,581
11,false,-87.688829,false,true,classic,,RP-001,42.001785,Warren Park West,a3ae82e0-a135-11e9-9cda-0a87ae2ba916,a3ae82e0-a135-11e9-9cda-0a87ae2ba916,450
11,false,-87.62264415621758,false,true,classic,,595,41.73655301831962,Wabash Ave & 87th St,a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,a3b2dcf0-a135-11e9-9cda-0a87ae2ba916,595
11,false,-87.5914159893,false,true,classic,,KA1503000046,41.7804056457,Dorchester Ave & 63rd St,a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,a3ad9ad9-a135-11e9-9cda-0a87ae2ba916,428
11,false,-87.7050730318,false,true,classic,,15686,41.85353363213,Kedzie Ave & 21st St,a3add365-a135-11e9-9cda-0a87ae2ba916,a3add365-a135-11e9-9cda-0a87ae2ba916,439
11,false,-87.5864608775,false,true,classic,,KA1503000045,41.7664929373,Stony Island Ave & 71st St,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,356
11,false,-87.618691,false,true,classic,,TA1307000160,41.794853,Prairie Ave & Garfield Blvd,a3a7b936-a135-11e9-9cda-0a87ae2ba916,a3a7b936-a135-11e9-9cda-0a87ae2ba916,204
11,false,-87.735737,false,true,classic,,545,41.877917,Kostner Ave & Adams St,a3b1db23-a135-11e9-9cda-0a87ae2ba916,a3b1db23-a135-11e9-9cda-0a87ae2ba916,545
11,false,-87.53481388092041,false,true,classic,,20223,41.71274876109496,Ewing Ave & Burnham Greenway,98fe78dc-4efa-4b39-a47c-0d94abcdb221,98fe78dc-4efa-4b39-a47c-0d94abcdb221,718
11,false,-87.686234,false,true,classic,,644,41.868563,Western Ave & Fillmore St,a3b43eb7-a135-11e9-9cda-0a87ae2ba916,a3b43eb7-a135-11e9-9cda-0a87ae2ba916,644
7,false,-87.774704,false,true,classic,,16921,41.894887,Austin Blvd & Chicago Ave,a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,a3b0f5c9-a135-11e9-9cda-0a87ae2ba916,524
11,false,-87.731023,false,true,classic,,KA1504000141,41.946264,Pulaski Rd & Eddy St (Temp),a3afc858-a135-11e9-9cda-0a87ae2ba916,a3afc858-a135-11e9-9cda-0a87ae2ba916,488
11,false,-87.645143,false,true,classic,,TA1309000055,41.838198,Emerald Ave & 31st St,a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,a3aaf7bc-a135-11e9-9cda-0a87ae2ba916,339
11,false,-87.755285,false,true,classic,,543,41.875806,Laramie Ave & Gladys Ave,a3b1cf80-a135-11e9-9cda-0a87ae2ba916,a3b1cf80-a135-11e9-9cda-0a87ae2ba916,543
11,false,-87.626938,false,true,classic,,13213,41.841707,State St & 29th St,a3a781a6-a135-11e9-9cda-0a87ae2ba916,a3a781a6-a135-11e9-9cda-0a87ae2ba916,193
11,false,-87.56644,false,true,classic,,KA1503000024,41.758768,Yates Blvd & 75th St,a3acfa38-a135-11e9-9cda-0a87ae2ba916,a3acfa38-a135-11e9-9cda-0a87ae2ba916,396
11,false,-87.716755,false,true,classic,,18017,41.914166,Central Park Ave & Bloomingdale Ave,a3b42f5f-a135-11e9-9cda-0a87ae2ba916,a3b42f5f-a135-11e9-9cda-0a87ae2ba916,641
11,false,-87.652934,false,true,classic,,567,41.768938,May St & 69th St,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,567
11,false,-87.6159428567,false,true,classic,,KA1503000053,41.78008063659,MLK Jr Dr & 63rd St,a3ada52f-a135-11e9-9cda-0a87ae2ba916,a3ada52f-a135-11e9-9cda-0a87ae2ba916,430
11,false,-87.705866,false,true,classic,,15621,41.961041,Albany Ave & Montrose Ave,a3af9f99-a135-11e9-9cda-0a87ae2ba916,a3af9f99-a135-11e9-9cda-0a87ae2ba916,480
11,false,-87.745405,false,true,classic,,16913,41.877613,Cicero Ave & Quincy St,a3b143aa-a135-11e9-9cda-0a87ae2ba916,a3b143aa-a135-11e9-9cda-0a87ae2ba916,539
11,false,-87.6933696402,false,true,classic,,KA1504000130,41.99023602867,Maplewood Ave & Peterson Ave,a3af1cec-a135-11e9-9cda-0a87ae2ba916,a3af1cec-a135-11e9-9cda-0a87ae2ba916,455
11,false,-87.727907,false,true,classic,,534,41.88085,Karlov Ave & Madison St,a3b128de-a135-11e9-9cda-0a87ae2ba916,a3b128de-a135-11e9-9cda-0a87ae2ba916,534
7,false,-87.67564,false,true,classic,,TA1307000066,41.8492,Damen Ave & Coulter St,a3a706c0-a135-11e9-9cda-0a87ae2ba916,a3a706c0-a135-11e9-9cda-0a87ae2ba916,167
11,false,-87.6449900565,false,true,classic,,KA1503000011,41.79292964599,Halsted St & 56th St,a3acd078-a135-11e9-9cda-0a87ae2ba916,a3acd078-a135-11e9-9cda-0a87ae2ba916,386
7,false,-87.580046,false,true,classic,,665,41.747363,South Chicago Ave & Elliot Ave,a3b4aa91-a135-11e9-9cda-0a87ae2ba916,a3b4aa91-a135-11e9-9cda-0a87ae2ba916,665
11,false,-87.565211,false,true,classic,,579,41.75182,Phillips Ave & 79th St,a3b28b4a-a135-11e9-9cda-0a87ae2ba916,a3b28b4a-a135-11e9-9cda-0a87ae2ba916,579
11,false,-87.7061278837,false,true,classic,,KA1504000114,41.89546530305,Kedzie Ave & Chicago Ave,a3ac9834-a135-11e9-9cda-0a87ae2ba916,a3ac9834-a135-11e9-9cda-0a87ae2ba916,373
11,false,-87.616279,false,true,classic,,TA1308000007,41.809851,MLK Jr Dr & 47th St,a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,a3a7a4fc-a135-11e9-9cda-0a87ae2ba916,200
11,false,-87.62284398078917,false,true,classic,,587,41.743359762253235,Wabash Ave & 83rd St,a3b2b419-a135-11e9-9cda-0a87ae2ba916,a3b2b419-a135-11e9-9cda-0a87ae2ba916,587
11,false,-87.664199,false,true,classic,,TA1308000047,41.957081,Southport Ave & Clark St,a3aa017e-a135-11e9-9cda-0a87ae2ba916,a3aa017e-a135-11e9-9cda-0a87ae2ba916,292
7,false,-87.657195,false,true,classic,,556,41.799659,Throop St & 52nd St,a3b213af-a135-11e9-9cda-0a87ae2ba916,a3b213af-a135-11e9-9cda-0a87ae2ba916,556
11,false,-87.689438282,false,true,classic,,KA1504000129,41.99416136902,Western Ave & Granville Ave,a3ae8d13-a135-11e9-9cda-0a87ae2ba916,a3ae8d13-a135-11e9-9cda-0a87ae2ba916,452
11,false,-87.597552,false,true,classic,,576,41.751294,Greenwood Ave & 79th St,a3b27bcf-a135-11e9-9cda-0a87ae2ba916,a3b27bcf-a135-11e9-9cda-0a87ae2ba916,576
11,false,-87.740569,false,true,classic,,590,41.953733,Kilbourn Ave & Irving Park Rd,a3b2c354-a135-11e9-9cda-0a87ae2ba916,a3b2c354-a135-11e9-9cda-0a87ae2ba916,590
11,false,-87.70096063613892,false,true,classic,,20204,41.69239474587557,Kedzie Ave & 110th St,8a677aec-442b-47b8-aff7-50852e1d26c0,8a677aec-442b-47b8-aff7-50852e1d26c0,736
11,false,-87.72609159350395,false,true,classic,,535,41.87441021003816,Pulaski Rd & Congress Pkwy,a3b12dfb-a135-11e9-9cda-0a87ae2ba916,a3b12dfb-a135-11e9-9cda-0a87ae2ba916,535
11,false,-87.61448353528975,false,true,classic,,KA1503000033,41.784071072761,Eberhart Ave & 61st St,a3adaa52-a135-11e9-9cda-0a87ae2ba916,a3adaa52-a135-11e9-9cda-0a87ae2ba916,431
11,false,-87.613533,false,true,classic,,13215,41.836208,Rhodes Ave & 32nd St,a3a96fd5-a135-11e9-9cda-0a87ae2ba916,a3a96fd5-a135-11e9-9cda-0a87ae2ba916,263
11,false,-87.604836,false,true,classic,,585,41.743441,Cottage Grove Ave & 83rd St,a3b2a9e7-a135-11e9-9cda-0a87ae2ba916,a3b2a9e7-a135-11e9-9cda-0a87ae2ba916,585
7,false,-87.756895,false,true,classic,,642,41.894745,Latrobe Ave & Chicago Ave,a3b43478-a135-11e9-9cda-0a87ae2ba916,a3b43478-a135-11e9-9cda-0a87ae2ba916,642
11,false,-87.656526,false,true,classic,,553,41.80839,Elizabeth St & 47th St,a3b2044b-a135-11e9-9cda-0a87ae2ba916,a3b2044b-a135-11e9-9cda-0a87ae2ba916,553
11,false,-87.6009581145,false,true,classic,,KA1503000052,41.79933626261,Ellis Ave & 53rd St,a3ad66e6-a135-11e9-9cda-0a87ae2ba916,a3ad66e6-a135-11e9-9cda-0a87ae2ba916,418
11,false,-87.633879,false,true,classic,,SL-006,41.856802,Wells St & 19th St,a3a80009-a135-11e9-9cda-0a87ae2ba916,a3a80009-a135-11e9-9cda-0a87ae2ba916,218
11,false,-87.604959713,false,true,classic,,KA1503000003,41.76571903697,Cottage Grove Ave & 71st St,a3ad0ecb-a135-11e9-9cda-0a87ae2ba916,a3ad0ecb-a135-11e9-9cda-0a87ae2ba916,400
11,false,-87.643278,false,true,classic,,KA1503000032,41.819102,Union Ave & Root St,a3ad327e-a135-11e9-9cda-0a87ae2ba916,a3ad327e-a135-11e9-9cda-0a87ae2ba916,408
11,false,-87.645213904,false,true,classic,,KA1503000010,41.80183164049,Halsted St & 51st St,a3acc649-a135-11e9-9cda-0a87ae2ba916,a3acc649-a135-11e9-9cda-0a87ae2ba916,384
11,false,-87.6446135779,false,true,classic,,15597,41.76906172032,Halsted St & 69th St,a3acdff9-a135-11e9-9cda-0a87ae2ba916,a3acdff9-a135-11e9-9cda-0a87ae2ba916,391
11,false,-87.6806661451,false,true,classic,,RP-002,42.00454962194,Warren Park East,a3ae78ab-a135-11e9-9cda-0a87ae2ba916,a3ae78ab-a135-11e9-9cda-0a87ae2ba916,448
11,false,-87.685854,false,true,classic,,13245,41.907781,Claremont Ave & Hirsch St,a3a6de38-a135-11e9-9cda-0a87ae2ba916,a3a6de38-a135-11e9-9cda-0a87ae2ba916,159
7,false,-87.60641,false,true,classic,,570,41.75849,Evans Ave & 75th St,a3b25b6d-a135-11e9-9cda-0a87ae2ba916,a3b25b6d-a135-11e9-9cda-0a87ae2ba916,570
11,false,-87.6180535802,false,true,classic,,15470,41.80229465088,Calumet Ave & 51st St,a3ad5764-a135-11e9-9cda-0a87ae2ba916,a3ad5764-a135-11e9-9cda-0a87ae2ba916,415
