eightd_has_key_dispenser,eightd_station_services,lat,short_name,has_kiosk,capacity,lon,electric_bike_surcharge_waiver,station_type,name,externalId,stationId,legacyId
false,,41.77938114228,KA1503000055,true,11,-87.6446208145,false,classic,Halsted St & 63rd St,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,388
false,,42.015963,517,true,11,-87.675005,false,classic,Clark St & Jarvis Ave,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,517
false,,41.949923,18016,true,11,-87.713949,false,classic,Bernard St & Elston Ave,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,640
false,,41.792822,16943,true,11,-87.664429,false,classic,Ashland Ave & Garfield Blvd,a3b21de7-a135-11e9-9cda-0a87ae2ba916,a3b21de7-a135-11e9-9cda-0a87ae2ba916,558
false,,41.883073,654,true,11,-87.656952,false,classic,Racine Ave & Washington Blvd,a3b4728f-a135-11e9-9cda-0a87ae2ba916,a3b4728f-a135-11e9-9cda-0a87ae2ba916,654
false,,41.786833,560,true,11,-87.666215,false,classic,Marshfield Ave & 59th St,a3b22815-a135-11e9-9cda-0a87ae2ba916,a3b22815-a135-11e9-9cda-0a87ae2ba916,560
false,,41.751173,577,true,11,-87.585337,false,classic,Stony Island Ave & South Chicago Ave,a3b2810e-a135-11e9-9cda-0a87ae2ba916,a3b2810e-a135-11e9-9cda-0a87ae2ba916,577
false,,41.849527,TA1308000014,true,11,-87.640591,false,classic,Normal Ave & Archer Ave,a3a7d279-a135-11e9-9cda-0a87ae2ba916,a3a7d279-a135-11e9-9cda-0a87ae2ba916,209
false,,41.766,652,true,11,-87.611726,false,classic,Rhodes Ave & 71st St,a3b46866-a135-11e9-9cda-0a87ae2ba916,a3b46866-a135-11e9-9cda-0a87ae2ba916,652
false,,41.920082,13288,true,11,-87.677855,false,classic,Damen Ave & Charleston St,a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,a3aa5ed1-a135-11e9-9cda-0a87ae2ba916,310
false,,41.84163253965,KA1503000040,true,11,-87.6574349533,false,classic,Loomis St & Archer Ave,a3ac7978-a135-11e9-9cda-0a87ae2ba916,a3ac7978-a135-11e9-9cda-0a87ae2ba916,366
false,,41.89102331025185,RN-,true,11,-87.63547986745834,false,classic,Franklin St & Illinois St,8995498f-1209-4b06-9317-01cd695b3b61,8995498f-1209-4b06-9317-01cd695b3b61,672
false,,41.79156801058,KA1503000075,true,11,-87.6078521774,false,classic,DuSable Museum,a3ad7b51-a135-11e9-9cda-0a87ae2ba916,a3ad7b51-a135-11e9-9cda-0a87ae2ba916,422
false,,41.758361,571,true,11,-87.614138,false,classic,Vernon Ave & 75th St,a3b26084-a135-11e9-9cda-0a87ae2ba916,a3b26084-a135-11e9-9cda-0a87ae2ba916,571
false,,41.887664,16905,true,11,-87.765469,false,classic,Central Ave & Lake St,a3b11993-a135-11e9-9cda-0a87ae2ba916,a3b11993-a135-11e9-9cda-0a87ae2ba916,531
false,,41.92459,16010,true,11,-87.72785,false,classic,Keystone Ave & Fullerton Ave,a3b35885-a135-11e9-9cda-0a87ae2ba916,a3b35885-a135-11e9-9cda-0a87ae2ba916,619
false,,41.794087,557,true,11,-87.675478,false,classic,Seeley Ave & Garfield Blvd,a3b218cd-a135-11e9-9cda-0a87ae2ba916,a3b218cd-a135-11e9-9cda-0a87ae2ba916,557
false,,41.9104754,13258,true,11,-87.6968944,false,classic,California Ave & North Ave,a3a9acc5-a135-11e9-9cda-0a87ae2ba916,a3a9acc5-a135-11e9-9cda-0a87ae2ba916,276
false,,41.77987,18025,true,7,-87.650919,false,classic,Carpenter St & 63rd St,a3b453f2-a135-11e9-9cda-0a87ae2ba916,a3b453f2-a135-11e9-9cda-0a87ae2ba916,648
